Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Legal secretaries and administrative assistants    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant,High school diploma or equivalent,43-6012,160.4,126.7,-33.6,-21,12,"48,980",7,None,4,Moderate-term on-the-job training,4
Medical secretaries and administrative assistants    * Dental Secretary* Hospital Secretary* Psychiatric Secretary,High school diploma or equivalent,43-6013,611.2,676.1,64.9,10.6,75.2,"37,350",7,None,4,Moderate-term on-the-job training,4
"Secretaries and administrative assistants, except legal, medical, and executive    * Alumni Secretary* Department Secretary* Office Secretary* Personal Secretary* Real Estate Administrative Assistant* School Attendance Secretary* School Secretary",High school diploma or equivalent,43-6014,"2,053.50","1,896.70",-156.9,-7.6,195.1,"38,850",7,None,4,Short-term on-the-job training,5
Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher,High school diploma or equivalent,43-9021,158.4,122.8,-35.6,-22.5,11.6,"34,440",7,None,4,Short-term on-the-job training,5
Word processors and typists    * Clerk Typist* Dictaphone Typist* Legal Transcriptionist* Statistical Typist* Transcription Typist* Typist* Word Processor,High school diploma or equivalent,43-9022,45.2,28.9,-16.3,-36,2.6,"41,050",7,None,4,Short-term on-the-job training,5
Desktop publishers    * DTP Operator* Desktop Publisher* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist,Associate's degree,43-9031,8.2,7.2,-1,-12.3,0.8,"47,560",4,None,4,Short-term on-the-job training,5
Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk,High school diploma or equivalent,43-9041,277.9,281.8,3.9,1.4,26.7,"42,050",7,None,4,Moderate-term on-the-job training,4
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk",High school diploma or equivalent,43-9051,82.2,78.7,-3.4,-4.2,8.8,"31,920",7,None,4,Short-term on-the-job training,5
"Office clerks, general    * Administrative Clerk* Office Assistant* Office Clerk* Real Estate Clerk",High school diploma or equivalent,43-9061,"2,933.90","2,873.60",-60.4,-2.1,324.6,"35,330",7,None,4,Short-term on-the-job training,5
"Office machine operators, except computer    * Business Machine Operator* Coin Machine Operator* Coin Rolling Machine Operator* Coin Wrapping Machine Operator* Collator Operator* Copy Center Operator* Copy Machine Operator* Duplicating Machine Operator",High school diploma or equivalent,43-9071,41.7,36.1,-5.6,-13.5,3.8,"34,730",7,None,4,Short-term on-the-job training,5
Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader,Bachelor's degree,43-9081,7.9,8.3,0.4,5.3,1.1,"41,140",3,None,4,None,6
Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk,Bachelor's degree,43-9111,10.4,11.3,0.8,7.9,1.3,"50,360",3,None,4,None,6
"Office and administrative support workers, all other    * Braille Transcriber* Envelope Stuffer* Fingerprint Clerk* Investigation Clerk* Newspaper Inserter* Notary Public",High school diploma or equivalent,43-9199,201.9,215.3,13.4,6.6,24.4,"35,890",7,None,4,Short-term on-the-job training,5
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor",High school diploma or equivalent,45-1011,53.2,57.8,4.6,8.7,8.3,"50,080",7,Less than 5 years,2,None,6
Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,Bachelor's degree,45-2011,16.6,18.2,1.5,9.1,2.9,"46,700",3,None,4,Moderate-term on-the-job training,4
Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager,High school diploma or equivalent,45-2021,8.4,8.2,-0.3,-3.2,1.3,"40,770",7,None,4,Short-term on-the-job training,5
"Graders and sorters, agricultural products    * Apple Sorter* Cherry Sorter* Cotton Grader* Egg Grader* Fruit Sorter* Meat Grader* Oyster Sorter* Peanut Grader* Potato Sorter* Seed Sorter* Strawberry Sorter* Vegetable Sorter* Wool Grader",No formal educational credential,45-2041,32.5,32.1,-0.5,-1.4,4.7,"28,220",8,None,4,Short-term on-the-job training,5
Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver,No formal educational credential,45-2091,65,73.4,8.4,12.9,11.7,"32,750",8,None,4,Moderate-term on-the-job training,4
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender",No formal educational credential,45-2092,526.3,554.3,28,5.3,87.4,"28,660",8,None,4,Short-term on-the-job training,5
"Farmworkers, farm, ranch, and aquacultural animals    * Aquaculture Worker* Barn Hand* Barn Worker* Cattle Brander* Cattle Driver* Chicken Handler* Chicken Vaccinator* Cow Tender* Egg Gatherer* Farrowing Worker* Goat Herder* Groom* Hatchery Worker* Livestock Handler* Poultry Debeaker* Ranch Hand* Sheep Shearer* Shrimp Pond Laborer",No formal educational credential,45-2093,256.9,235.5,-21.3,-8.3,36.4,"29,130",8,None,4,Short-term on-the-job training,5
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman",No formal educational credential,45-2099,12.3,12.9,0.6,4.9,2,"30,140",8,None,4,Short-term on-the-job training,5
Fishing and hunting workers,No formal educational credential,45-3031,32.3,35.8,3.4,10.6,5.3,N/A,8,None,4,Moderate-term on-the-job training,4
Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer,High school diploma or equivalent,45-4011,12.6,11.6,-1,-8,1.8,"30,640",7,None,4,Moderate-term on-the-job training,4
Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller,High school diploma or equivalent,45-4021,5.6,5.5,-0.1,-1.3,0.8,"43,190",7,None,4,Moderate-term on-the-job training,4
Logging equipment operators    * Delimber Operator* Feller Buncher Operator* Feller Operator* Grapple Operator* Grapple Skidder Operator* Log Hauler* Log Processor Operator* Log Stacker Operator* Logging Crane Operator* Logging Shovel Operator* Logging Tractor Operator* Lumber Stacker Operator* Timber Harvester Operator* Tree-Shear Operator,High school diploma or equivalent,45-4022,30.9,33.5,2.5,8.1,5.1,"43,210",7,None,4,Moderate-term on-the-job training,4
Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader,High school diploma or equivalent,45-4023,4,4.3,0.3,7.7,0.7,"36,900",7,None,4,Moderate-term on-the-job training,4
"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Rigging Slinger* Timber Hand",High school diploma or equivalent,45-4029,5,5.3,0.3,6.3,0.8,"41,410",7,None,4,Moderate-term on-the-job training,4
First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor,High school diploma or equivalent,47-1011,692.2,735.3,43.1,6.2,70.7,"67,840",7,5 years or more,1,None,6
Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic,High school diploma or equivalent,47-2011,14.9,14.7,-0.2,-1,1.3,"65,360",7,None,4,Apprenticeship,2
Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer,High school diploma or equivalent,47-2021,69.6,65.9,-3.7,-5.3,6,"55,080",7,None,4,Apprenticeship,2
Stonemasons    * Banker Mason* Curbstone Setter* Granite Setter* Memorial Mason* Monument Mason* Rock Mason* Stone Chimney Mason* Stone Layer* Stonemason,High school diploma or equivalent,47-2022,13.9,13.7,-0.2,-1.4,1.3,"43,650",7,None,4,Apprenticeship,2
Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer,High school diploma or equivalent,47-2031,942.9,963,20.1,2.1,89.3,"49,520",7,None,4,Apprenticeship,2
Carpet installers    * Carpet Installer* Carpet Layer* Commercial Carpet Installer* Residential Carpet Installer* Wall-to-Wall Carpet Installer,No formal educational credential,47-2041,32.6,30.7,-1.9,-5.9,2.5,"41,480",8,None,4,Short-term on-the-job training,5
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer",No formal educational credential,47-2042,23.7,26.6,2.9,12.3,2.4,"45,520",8,None,4,Moderate-term on-the-job training,4
Floor sanders and finishers    * Floor Finisher* Floor Refinisher* Floor Sander* Floor Sanding Machine Operator* Floor Scraper* Hardwood Finisher,No formal educational credential,47-2043,7.2,7.5,0.3,4.5,0.7,"38,850",8,None,4,Moderate-term on-the-job training,4
Tile and stone setters    * Ceramic Tile Installer* Hard Tile Setter* Marble Ceiling Installer* Parquet Floor Layer* Tile Installer* Tile Mason* Wood Tile Installer,No formal educational credential,47-2044,54.1,60.3,6.2,11.5,5.4,"44,220",8,None,4,Long-term on-the-job training,3
Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer,No formal educational credential,47-2051,194.1,192.2,-1.9,-1,17.2,"46,000",8,None,4,Moderate-term on-the-job training,4
Terrazzo workers and finishers    * Granite-Chip Terrazzo  Finisher* Marble-Chip Terrazzo Worker* Onyx-Chip Terrazzo Worker* Rustic Terrazzo Setter* Terrazzo Finisher* Terrazzo Grinder* Terrazzo Installer* Terrazzo Layer* Terrazzo Setter* Terrazzo Worker,High school diploma or equivalent,47-2053,3,2.7,-0.3,-8.5,0.2,"51,430",7,None,4,Apprenticeship,2
Construction laborers    * Air Hammer Operator* Construction Craft Laborer* Construction Laborer* Construction Trench Digger,No formal educational credential,47-2061,"1,285.20","1,388.30",103.2,8,140.1,"37,890",8,None,4,Short-term on-the-job training,5
"Paving, surfacing, and tamping equipment operators    * Asphalt Paver* Asphalt Paving Machine Operator* Asphalt Roller Operator* Asphalt Tamping Machine Operator* Blacktop-Paver Operator* Paver Operator* Road Grader* Screed Operator",High school diploma or equivalent,47-2071,44.8,47.4,2.5,5.6,5.1,"41,540",7,None,4,Moderate-term on-the-job training,4
Pile driver operators    * Diesel Pile Hammer Operator* Hydraulic Pile Hammer Operator* Hydraulic Press-In Operator* Pile Driver Operator* Vibratory Pile Driver,High school diploma or equivalent,47-2072,3.9,4.1,0.2,4.8,0.4,"63,370",7,None,4,Moderate-term on-the-job training,4
Operating engineers and other construction equipment operators    * Angle Dozer Operator* Blade Grader Operator* Bulldozer Operator* Ditching Machine Operating Engineer* Grader Operator* Motor Grader Operator* Scraper Operator* Steam Shovel Operating Engineer* Steam Shovel Operator,High school diploma or equivalent,47-2073,408.5,430.7,22.2,5.4,46,"49,770",7,None,4,Moderate-term on-the-job training,4
Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker,No formal educational credential,47-2081,121.2,127.2,6,4.9,10.7,"47,460",8,None,4,Moderate-term on-the-job training,4
Tapers    * Drywall Taper* Sheet Rock Taper* Wall Taper,No formal educational credential,47-2082,19.8,19.9,0.1,0.5,1.6,"59,450",8,None,4,Moderate-term on-the-job training,4
Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician,High school diploma or equivalent,47-2111,729.6,795.7,66.1,9.1,84.7,"56,900",7,None,4,Apprenticeship,2
Glaziers    * Leaded Glass Installer* Plate Glass Installer* Stained Glass Glazier* Stained Glass Installer* Stained Glass Joiner* Window Glazier,High school diploma or equivalent,47-2121,53.6,56.1,2.5,4.7,6,"46,080",7,None,4,Apprenticeship,2
"Insulation workers, floor, ceiling, and wall    * Ceiling Insulation Blower* Composition Weatherboard Installer* Cork Insulation Installer* Cork Insulator* Insulation Machine Operator* Interior Surface Insulation Worker* Wall Insulation Sprayer",No formal educational credential,47-2131,33.3,34.9,1.6,4.9,3.3,"41,690",8,None,4,Short-term on-the-job training,5
"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator",High school diploma or equivalent,47-2132,28.2,29.6,1.4,5.1,2.8,"50,030",7,None,4,Apprenticeship,2
"Painters, construction and maintenance    * Bridge Painter* Facilities Painter* Highway Painter* House Painter* Industrial Painter* Parking Line Painter* Roof Painter* Traffic Line Painter",No formal educational credential,47-2141,350.8,369.1,18.3,5.2,32.7,"42,130",8,None,4,Moderate-term on-the-job training,4
Paperhangers    * Billboard Poster* Paperhanger* Wall Covering Installer* Wallpaper Hanger* Wallpaperer,No formal educational credential,47-2142,4.6,4.9,0.3,6.4,0.4,"43,560",8,None,4,Long-term on-the-job training,3
Pipelayers    * Cast-Iron Drain Pipe Layer* Pipe Layer* Sewer Pipe Layer* Trench Pipe Layer* Water Main Pipe Layer,No formal educational credential,47-2151,35.1,34.5,-0.5,-1.5,3.5,"40,480",8,None,4,Short-term on-the-job training,5
"Plumbers, pipefitters, and steamfitters    * Fire Sprinkler Installer* Gas Main Fitter* Gas Plumber* Hydraulic Plumber* Industrial Gas Fitter* Marine Pipefitter* Marine Steamfitter* Master Plumber* Pipe Fitter* Plumber* Solar Thermal Installer* Sprinkler Fitter* Steamfitter* Water Pump Installer",High school diploma or equivalent,47-2152,469.9,493.2,23.4,5,51,"56,330",7,None,4,Apprenticeship,2
